MSB	LSB	PRG	NME
098	000	000	M-Male
098	000	001	M-ASoft
098	000	002	M-AHusky
098	000	003	M-Enka
098	000	004	M-Opera
098	000	005	M-Classc
098	000	006	M-Antiq
098	000	007	M-DamiVo
098	000	008	M-MidAge
098	000	009	M-Heavy
098	000	010	M-YngMan
098	000	011	M-YSoft
098	000	012	M-YHusky
098	000	013	M-AGO
098	000	014	M-Idol
098	000	015	M-Honest
098	000	020	F-NMusic
098	000	021	F-Weak
098	000	022	F-Modrat
098	000	023	F-Enka
098	000	024	F-Opera
098	000	025	F-Coquet
098	000	026	F-Antiq
098	000	027	F-Nose
098	000	028	F-Chobo
098	000	030	F-Pops
098	000	031	F-Soft
098	000	032	F-Boyish
098	000	033	F-Buriko
098	000	034	F-Bright
098	000	035	F-Teens
098	000	036	F-Honest
098	000	040	Boy
098	000	041	Girl
098	000	042	Baby
098	000	043	NoseKid
098	000	044	Comical
098	000	050	GoatSG
098	000	051	FrogSG
098	000	052	CrowSG
098	000	053	CowSG
098	000	054	Mosquito
098	000	060	Mercury
098	000	061	Venus
098	000	062	Mars
098	000	063	Jupiter
098	000	064	Saturn
098	000	070	Mirai
098	000	071	AM.Radio
098	000	072	HAL100
098	000	073	TinyUFO
098	000	074	SpSiren
098	000	075	LowFi
098	000	076	HeartKkr
098	000	077	CrzyRobo
098	000	078	OpenRobo
098	000	079	Tremolo
098	000	080	VTrumpet
098	000	081	VOrgan
098	000	082	VSynBass
098	000	083	VSynth1
098	000	084	VSynth2
098	000	090	WindSG
098	000	091	Waterfal
098	000	092	StormSG
098	000	093	SeaSG
098	000	094	WaterEFX
098	000	100	CrySG
098	000	101	Dosukoi
098	000	102	Onchi
098	000	103	Unison1
098	000	104	Unison2
