ID	Name
Uprt.Pno	Upright Pno.
UprtP. w	Uprt Piano w
MildP. w	Mild Piano w
EuropePf	European Pf
PianoStr	Piano+Str. 1
Pno+Str2	Piano+Str. 2
DreamPno	Dream Piano
DreamP.2	Dream Piano2
PopPno w	Pop Piano w
RockP. w	Rock Piano w
DancePno	Dance Piano
EGRhode1	EG+Rhodes 1
EGRhode2	EG+Rhodes 2
HnkyTk w	Honky Tonk w
Old Uprt	Old Upright
HnkyTnk2	Honky Tonk 2
Det.EP 1	Detuned EP 1
StSoftEP	Ste. Soft EP
SilntRho	SilentRhodes
Dst.EPno	Dist. EPiano
60sElPno	60s' E.Piano
HrdRhode	Hard Rhodes
MelRhode	Mellow Rhode
ElPiano3	Elec.Piano 3
Det.EP 2	Detuned EP 2
Det.EP 3	Detuned EP 3
ElPno 2v	El. Piano 2v
St.FM EP	Stereo FM EP
HardFMEP	Hard FM EP
CplHapsi	CoupledHapsi
SynHapsi	Synth Harpsi
AtkClavi	Attack Clavi
AtkClv.2	Atk. Clavi 2
Comp Clv	Comp Clavi.
Reso Clv	Reso Clavi.
PhaseClv	Phase Clavi.
AnaClavi	Analog Clav.
JP8 Clv1	JP8 Clav. 1
JP8 Clv2	JP8 Clav. 2
SyRngClv	Syn.Ring Clv
SyDstClv	Syn.Dist Clv
JP8k Clv	JP8000 Clav.
PulseClv	Pulse Clavi.
PopCelst	Pop Celesta
MusicBx2	Music Box 2
St.MusBx	St.Music Box
HardVibr	Hard Vibra.
Vib. w	Vibes. w
Vibra. w	Vibraphone w
Vibrafns	Vibraphones
Xylofn.w	Xylophone w
ChrchBel	Church Bell
ChchBel2	Church Bell2
TubBel w	TubularBel w
FullOrgn	Full Organ 1
FullOrg2	Full Organ 2
FullOrg3	Full Organ 3
FullOrg4	Full Organ 4
FullOrg5	Full Organ 5
FullOrg6	Full Organ 6
DetDrwOr	Detuned Org.
TremDrOr	Tremolo Org.
FullOrg7	Full Organ 7
FullOrg8	Full Organ 8
FullOrg9	Full Organ 9
60sDrOrg	60s' Organ 1
60sDrOr2	60s' Organ 2
60sDrOr3	60s' Organ 3
CheezOrg	Cheese Organ
HybridOr	Hybrid Organ
EChrchOr	Digi. Church
JX-8P Or	JX-8P Organ
5thOrgan	Fifth Organ
EOrg16+2	E.Organ 16+2
JazzOrg2	Jazz Organ 2
JazzOrg3	Jazz Organ 3
JazzOrg4	Jazz Organ 4
JazzOrg5	Jazz Organ 5
JazzOrg6	Jazz Organ 6
DetPrcOr	Detuned Or.2
ChorusOr	Chorus Organ
OctaveOr	Octave Organ
PercOrg3	Perc Organ 2
PercOrg4	Perc Organ 3
PercOrg5	Perc Organ 4
PercOrg6	Perc Organ 5
RotaryOr	Rotary Organ
SlwRotar	Slow Rotary
RockOrg2	Rock Organ
RockOrg3	Rock Organ 2
FstRotar	Fast Rotary
ChurOrg2	Church Or. 2
ChurOrg3	Church Or. 3
OrgFlute	Organ Flute
TrmOrgFl	TrmOrgnFlute
ThtreOrg	Theatre Org.
AccordIt	Accordion It
DstAcord	Dist. Accord
ChoAcord	Chorus Acc.
HrdAcord	Hard Accord.
SftAcord	Soft Accord.
Harmo. 2	Harmonica 2
BscBHrmo	BasicB.Harmo
SplBHrmo	SupplB.Harmo
TngoAcd2	Bandoneon 2
Bndoneon	Bandoneon 3
VelGtHrm	Velo Harmnix
LequintG	Lequint Gt.
12StrGtr	12Str Guitar
Nyln&Stl	Nylon+Steel
AtkSteel	Atk Steel Gt
MandoTrm	MandolinTrem
Stl&Body	Steel + Body
HawaiiGt	Hawaiian Gt
PedalStl	Pedal Steel
ClnHalfG	Clean Half G
OpnHrdGt	Open Hard Gt
OpnHrdG2	Open Hard G2
JC ClnGt	JC Clean Gt.
AtkClnGt	Atk CleanGt.
